OrderID,OrderDate,CustomerID,City,Region,Channel,Category,Product,Quantity,UnitPrice,Revenue,ReturnFlag,DeliveryDays,Rating
1,2024-01-16,2982,Delhi,West,Website,Books,Product49,2,4404,8808,No,7,2
2,2024-05-26,2216,Mumbai,East,Other,Beauty,Product3,3,4821,14463,No,2,3
3,2024-08-23,1488,Delhi,South,Website,Electronics,Product97,3,4532,13596,No,3,3
4,2024-04-28,2681,Hyderabad,NE,Mobile App,Books,Product28,1,3748,3748,No,7,3
5,2024-07-11,1114,Pune,West,Website,Books,Product83,3,244,732,No,6,2
6,2024-07-08,2593,Bengaluru,NE,Website,Books,Product52,1,295,295,No,7,5
7,2024-01-09,2213,Bengaluru,North,Social,Books,Product90,4,4798,19192,No,6,1
8,2024-06-18,2968,Bengaluru,West,Website,Fashion,Product31,1,414,414,No,2,4
9,2024-07-10,1646,Hyderabad,North,Other,Fashion,Product49,1,4695,4695,No,5,4
10,2024-03-01,1956,Pune,North,Website,Fashion,Product76,3,1283,3849,Yes,2,4
11,2024-11-17,2597,Hyderabad,East,Other,Fashion,Product33,3,4081,12243,No,3,3
12,2024-05-10,1251,Delhi,West,Other,Sports,Product67,4,4993,19972,No,4,4
13,2024-11-26,1676,Mumbai,East,Website,Books,Product72,2,3272,6544,No,3,2
14,2024-02-10,2054,Pune,South,Other,Electronics,Product17,4,2650,10600,No,5,4
15,2024-10-08,2732,Hyderabad,NE,Social,Books,Product70,3,2272,6816,No,5,1
16,2024-08-04,2562,Kolkata,West,Website,Fashion,Product96,1,842,842,No,1,4
17,2024-03-09,1896,Kolkata,North,Social,Sports,Product41,4,1798,7192,No,6,2
18,2024-12-10,1241,Pune,South,Website,Beauty,Product52,3,380,1140,No,3,3
19,2024-04-03,2178,Delhi,NE,Other,Sports,Product61,4,1293,5172,No,7,1
20,2024-03-18,1639,Pune,NE,Website,Electronics,Product74,3,4229,12687,No,5,2
21,2024-08-08,1880,Bengaluru,East,Other,Books,Product80,1,4491,4491,No,1,1
22,2024-05-16,2714,Bengaluru,East,Mobile App,Sports,Product67,2,3134,6268,No,3,5
23,2024-05-04,2675,Kolkata,East,Mobile App,Sports,Product42,4,1843,7372,No,6,2
24,2024-02-20,1215,Delhi,South,Other,Books,Product75,4,2890,11560,No,7,5
25,2024-11-10,1484,Pune,West,Social,Beauty,Product41,3,1452,4356,No,6,4
26,2024-04-08,2589,Delhi,West,Website,Beauty,Product78,5,849,4245,No,3,5
27,2024-10-01,2764,Delhi,East,Other,Fashion,Product35,1,277,277,No,4,4
28,2024-01-03,1333,Mumbai,West,Mobile App,Beauty,Product75,2,1060,2120,No,3,3
29,2024-05-01,1474,Bengaluru,West,Mobile App,Books,Product5,1,2236,2236,No,6,2
30,2024-02-15,2761,Hyderabad,South,Other,Electronics,Product90,5,1659,8295,No,7,1
31,2024-01-18,2135,Hyderabad,North,Mobile App,Home,Product84,4,1518,6072,No,5,2
32,2024-02-12,1055,Delhi,South,Website,Books,Product96,4,2815,11260,No,6,2
33,2024-03-02,1226,Pune,South,Mobile App,Home,Product37,4,4482,17928,No,1,4
34,2024-05-07,2122,Mumbai,East,Other,Home,Product11,5,3737,18685,No,7,5
35,2024-01-14,1564,Mumbai,NE,Other,Books,Product29,1,2443,2443,No,6,2
36,2024-01-20,1748,Hyderabad,East,Other,Home,Product61,5,3518,17590,Yes,2,1
37,2024-03-26,2293,Kolkata,West,Other,Sports,Product62,5,4876,24380,No,4,1
38,2024-01-02,2078,Bengaluru,East,Website,Electronics,Product20,3,2000,6000,No,4,5
39,2024-06-10,2206,Pune,East,Other,Beauty,Product41,5,3167,15835,Yes,7,2
40,2024-04-27,1961,Kolkata,South,Mobile App,Beauty,Product97,1,1128,1128,No,5,1
41,2024-07-05,2618,Bengaluru,NE,Website,Sports,Product1,5,979,4895,No,5,2
42,2024-05-22,1405,Pune,West,Website,Beauty,Product17,5,819,4095,Yes,2,4
43,2024-01-04,2630,Mumbai,West,Other,Home,Product96,4,467,1868,No,5,4
44,2024-11-08,1736,Pune,NE,Social,Fashion,Product8,1,442,442,No,1,2
45,2024-08-18,1092,Delhi,South,Other,Beauty,Product39,5,2519,12595,No,1,5
46,2024-07-24,2288,Delhi,North,Other,Beauty,Product69,1,224,224,No,3,1
47,2024-05-22,1327,Mumbai,North,Social,Fashion,Product70,2,3029,6058,No,1,2
48,2024-02-02,2782,Pune,NE,Website,Electronics,Product77,2,3994,7988,No,5,4
49,2024-11-26,2101,Delhi,North,Website,Home,Product10,4,3472,13888,No,3,1
50,2024-07-03,1177,Bengaluru,East,Social,Home,Product89,4,464,1856,Yes,7,4
51,2024-05-01,1349,Kolkata,North,Website,Home,Product65,2,1068,2136,No,2,2
52,2024-10-09,2250,Pune,North,Other,Fashion,Product86,4,329,1316,No,2,2
53,2024-04-05,2383,Bengaluru,South,Other,Sports,Product78,4,2746,10984,No,7,3
54,2024-08-15,1301,Kolkata,North,Website,Beauty,Product97,5,1812,9060,No,2,2
55,2024-12-25,1555,Pune,South,Website,Electronics,Product60,5,3817,19085,No,6,3
56,2024-10-06,1728,Pune,South,Social,Electronics,Product51,2,3388,6776,No,2,2
57,2024-08-06,2063,Pune,North,Website,Sports,Product29,4,304,1216,Yes,1,3
58,2024-01-07,2436,Kolkata,South,Mobile App,Sports,Product77,5,4522,22610,No,7,5
